animal_type,country,weight_kg,body_length_cm,gender,latitude,longitude,observation_date,data_compiled_by
,,,,,,,03.01.2024,James Johnson
,,,,,,,03.02.2024,James Johnson
European bison,Poland,930.0,335.0,male,52.828845,23.820144,01.03.2024,Anne Anthony
European bison,Poland,909.0,311.0,not determined,52.830509,23.826849,01.03.2024,Anne Anthony
European bison,Poland,581.0,277.0,female,52.834109,23.807093,01.03.2024,Anne Anthony
European bisson,Poland,900.0,295.0,male,52.834759,23.817201,01.03.2024,Anne Anthony
European buster,Poland,620.0,250.0,female,52.83496,23.82075,01.03.2024,Anne Anthony
lynx,Hungary,24.0,76.0,male,48.505494,20.551966,01.03.2024,Anne Anthony
lynx?,Hungary,23.0,82.0,female,48.506529,20.554548,01.03.2024,Anne Anthony
red squirel,Poland,0.308,22.0,female,52.241273,21.055745,01.03.2024,Anne Anthony
red squirrel,PL,0.348,20.0,female,52.24206,21.057802,01.03.2024,Anne Anthony
red squirrel,Poland,0.316,20.0,male,52.240035,21.056188,01.03.2024,Anne Anthony
red squirrel,Poland,0.34,21.0,,52.240284,21.051948,01.03.2024,Anne Anthony
red squirrel,Poland,0.333,21.0,male,,,01.03.2024,Anne Anthony
red squirrel,Poland,0.265,19.0,female,52.24056,21.055899,01.03.2024,Anne Anthony
red squirrel,Poland,,,male,52.241177,21.052873,01.03.2024,Anne Anthony
red squirrel,PL,0.261,22.0,female,52.240833,21.052093,01.03.2024,Anne Anthony
red squirrel,Poland,0.317,23.0,male,52.241358,21.056352,01.03.2024,Anne Anthony
red squirrel,Poland,0.328,21.0,male,52.241905,21.050727,01.03.2024,Anne Anthony
red squirrel,Hungary,0.305,21.0,male,47.511401,18.949119,01.03.2024,Anne Anthony
red squirrell,Poland,0.328,23.0,male,52.24192,21.056347,01.03.2024,Anne Anthony
red squirrel,Germany,0.294,19.0,male,,,01.03.2024,Bob Bobson
red squirrel,Germany,0.25,19.0,female,,,01.03.2024,Bob Bobson
red squirrel,Germany,0.262,21.0,male,,,01.03.2024,Bob Bobson
red squirrel,Germany,0.267,21.0,female,,,01.03.2024,Bob Bobson
red squirrel,Germany,0.269,22.0,male,,,01.03.2024,Bob Bobson
red squirrel,Germany,0.308,22.0,female,,,01.03.2024,Bob Bobson
red squirrel,Germany,0.308,19.0,male,,,01.03.2024,Bob Bobson
red squirrel,Germany,0.27,20.0,male,,,01.03.2024,Bob Bobson
red squirrel,Germany,0.32,20.0,male,,,01.03.2024,Bob Bobson
red squirrel,Germany,0.262,20.0,male,,,01.03.2024,Bob Bobson
red squirrel,Germany,0.256,21.0,male,,,01.03.2024,Bob Bobson
red squirrel,Germany,0.245,22.0,male,,,01.03.2024,Bob Bobson
red squirrel,Germany,0.292,19.0,male,,,01.03.2024,Bob Bobson
red squirrel,Germany,0.289,19.0,female,,,01.03.2024,Bob Bobson
red squirrel,Germany,0.308,22.0,male,,,01.03.2024,Bob Bobson
European bison,Slovakia,420.0,182.0,male,49.054684,22.417189,01.03.2024,John Johnson
European bison,Slovakia,511.0,266.0,female,49.053629,22.421831,01.03.2024,John Johnson
European bison,Slovakia,814.0,288.0,male,49.053489,22.415229,01.03.2024,John Johnson
European bison,Slovakia,130.0,141.0,female,49.054166,22.422852,01.03.2024,John Johnson
European bison,Slovakia,390.0,180.0,female,49.052731,22.422675,01.03.2024,John Johnson
European bison,Slovakia,355.0,179.0,male,49.055974,22.415985,01.03.2024,John Johnson
European bison,Slovakia,566.0,272.0,female,49.053342,22.423867,01.03.2024,John Johnson
European bison,Slovakia,393.0,152.0,not determined,49.056471,22.422475,01.03.2024,John Johnson
European bison,Czech Republic,823.0,286.0,male,50.636564,14.834553,01.03.2024,John Johnson
European bison,Slovakia,695.0,316.0,male,49.055537,22.419428,01.03.2024,John Johnson
hedgehog,Czech Republic,0.6,20.0,female,50.636869,14.844555,01.03.2024,John Johnson
hedgehog,Czech Republic,0.6,-16.0,male,50.644733,14.835753,01.03.2024,John Johnson
hedgehog,Czech Republic,1.2,31.0,male,50.635766,14.844247,01.03.2024,John Johnson
red squirrel,Slovakia,0.275,23.0,male,48.185353,17.08322,01.03.2024,John Johnson
wedgehod,Czech Republic,0.9,22.0,male,50.642843,14.84124,01.03.2024,John Johnson
lynx,Hungary,23.0,78.0,female,48.504128,20.568479,02.03.2024,Anne Anthony
lynx?,Poland,29.0,94.0,male,52.809851,23.858071,02.03.2024,Anne Anthony
red squirrel,Germany,0.244,22.0,female,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.299,21.0,male,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.284,20.0,female,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.289,20.0,female,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.284,21.0,male,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.314,22.0,male,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.262,19.0,female,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.258,20.0,male,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.297,21.0,male,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.255,22.0,female,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.28,22.0,male,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.293,22.0,male,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.295,20.0,male,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.28,20.0,male,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.281,20.0,male,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.245,21.0,female,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.283,21.0,male,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.27,19.0,male,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.315,22.0,male,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.254,17.0,female,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.249,19.0,male,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.298,21.0,male,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.314,19.0,female,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.251,19.0,male,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.293,20.0,female,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.301,20.0,male,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.271,17.0,male,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.275,20.0,male,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.304,21.0,male,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.308,20.0,male,,,02.03.2024,Bob Bobson
red squirrel,Germany,0.24,21.0,male,,,02.03.2024,Bob Bobson
European bison,Czech,402.0,162.0,female,50.641008,14.836529,02.03.2024,John Johnson
European bison,Czech Republic,535.0,295.0,male,50.643406,14.836495,02.03.2024,John Johnson
European buster,Czech Republic,572.0,251.0,female,50.638945,14.845452,02.03.2024,John Johnson
hedgehog,Czech Republic,0.9,20.0,female,50.639869,14.849702,02.03.2024,John Johnson
hedgehog,Czech Republic,0.7,16.0,female,50.643039,14.840662,02.03.2024,John Johnson
hedgehog,Czech Republic,0.7,14.0,female,50.637879,14.838429,02.03.2024,John Johnson
hedgehog,Czech Republic,1.1,32.0,male,50.643254,14.84373,02.03.2024,John Johnson
hedgehog,Czech Republic,0.5,20.0,male,50.643854,14.837155,02.03.2024,John Johnson
hedgehog,Czech Republic,1.1,22.0,female,50.635584,14.837072,02.03.2024,John Johnson
hedgehog,Czech Republic,1.0,20.0,female,50.642723,14.837229,02.03.2024,John Johnson
hedgehog,Czech Republic,0.7,13.0,female,50.639389,14.8444,02.03.2024,John Johnson
lynx,Slovakia,30.0,120.0,male,48.409308,18.832606,02.03.2024,John Johnson
red squirrel,Hungry,0.262,20.0,female,47.510799,18.945583,03.03.2024,Anne Anthony
,,,,,,,03.03.2024,James Johnson
hedgehog,Czech Republic,0.6,20.0,male,50.637375,14.839785,03.03.2024,John Johnson
lynx,Slovakia,28.0,131.0,male,48.406304,18.842851,03.03.2024,John Johnson
red squirel,Slovakia,0.281,18.0,male,48.18769,17.086471,03.03.2024,John Johnson
European bison,Poland,650.0,285.0,female,52.834741,23.826716,04.03.2024,Anne Anthony
hedgehog,HU,1.1,24.0,male,48.503795,20.555932,04.03.2024,Anne Anthony
hedgehog,Hungary,1.1,26.0,not determined,48.503062,20.551698,04.03.2024,Anne Anthony
hedgehog,Hungary,0.8,18.0,female,48.503498,20.539662,04.03.2024,Anne Anthony
hedgehog,Hungary,1.2,26.0,male,48.509298,20.551977,04.03.2024,Anne Anthony
hedgehog,Poland,0.9,22.0,male,52.214679,21.033021,04.03.2024,Anne Anthony
lynx,Hungary,25.0,89.0,male,48.504169,20.559452,04.03.2024,Anne Anthony
red squirel,Hungary,0.283,18.0,female,48.505251,20.551473,04.03.2024,Anne Anthony
